	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
											jewpers13471352_x		jewpers13471352_x		jewpers13471352_x		jewpers13471352_x		jewpers13471352_x	
VARIABLES	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	coef	se	coef	se	coef	se	coef	se	coef	se
																				
_Ipopu90_1	0.401*					0.426*														
	[0.232]					[0.233]														
mortality	-0.009***	-0.008***	-0.007**	-0.007	-0.009**	-0.009***	-0.009***	-0.007**	-0.010***	-0.007	-0.011***	[0.002]	-0.011***	[0.002]	-0.011***	[0.002]	-0.010***	[0.003]	-0.011***	[0.002]
	[0.002]	[0.003]	[0.003]	[0.004]	[0.004]	[0.002]	[0.002]	[0.003]	[0.003]	[0.010]										
_IpopXmorta_1	-0.013***	-0.010	-0.005	-0.004	-0.000	-0.012***	-0.007	-0.008	0.001	-0.003										
	[0.004]	[0.006]	[0.005]	[0.005]	[0.005]	[0.004]	[0.006]	[0.005]	[0.004]	[0.011]										
_Ipopu75_1		0.249					0.108													
		[0.279]					[0.276]													
_Ipopu50_1			0.028					0.148												
			[0.212]					[0.220]												
_Ipopu25_1				0.063					-0.136											
				[0.234]					[0.209]											
_Ipopu10_1					-0.115					0.077										
					[0.215]					[0.631]										
jewpers13471352_x											.	[.]	.	[.]	.	[.]	.	[.]	.	[.]
_Ilargemona_1											-0.490**	[0.221]	-0.565**	[0.219]	-0.565**	[0.219]	-0.493**	[0.248]	-0.544**	[0.262]
_IlarXmorta_1											0.008*	[0.005]	0.009*	[0.005]	0.009*	[0.005]	0.006	[0.005]	0.008	[0.006]
Constant	0.808***	0.803***	0.844***	0.789***	0.926***	0.803***	0.840***	0.812***	0.944***	0.771	0.974***	[0.107]	0.986***	[0.106]	0.986***	[0.106]	0.917***	[0.113]	0.933***	[0.110]
	[0.111]	[0.116]	[0.142]	[0.199]	[0.176]	[0.111]	[0.118]	[0.155]	[0.167]	[0.621]										
																				
Observations	124	124	124	124	124	124	124	124	124	124	124		124		124		124		124	
R-squared	0.130	0.149	0.155	0.124	0.129	0.129	0.139	0.159	0.125	0.121	0.160		0.176		0.176		0.174		0.163	
