	(1)	(2)	(3)	(4)
VARIABLES	lpop_05	lpop_05	lpop_05	lpop_05
				
high_pogr	-0.04	-0.04	0.07	0.12
	[0.18]	[0.16]	[0.23]	[0.23]
high_pogr_year1600	0.07	0.02	0.20	0.19
	[0.15]	[0.13]	[0.21]	[0.21]
high_pogr_year1700	0.21	0.10	0.08	0.04
	[0.24]	[0.21]	[0.29]	[0.29]
high_pogr_year1750	0.16	-0.01	0.03	0.00
	[0.24]	[0.22]	[0.28]	[0.28]
high_pogr_year1800	-0.47**	-0.65***	-0.09	-0.10
	[0.24]	[0.21]	[0.29]	[0.29]
high_pogr_year1850	-0.40	-0.47*	-0.20	-0.25
	[0.28]	[0.24]	[0.33]	[0.33]
high_nopogr	-0.04	-0.05	-0.12	-0.04
	[0.04]	[0.04]	[0.11]	[0.11]
high_nopogr_year1600	0.10**	0.11***	0.03	0.01
	[0.04]	[0.04]	[0.06]	[0.06]
high_nopogr_year1700	0.13***	0.13***	-0.04	-0.10
	[0.05]	[0.05]	[0.10]	[0.10]
high_nopogr_year1750	0.12**	0.13**	-0.08	-0.12
	[0.06]	[0.06]	[0.12]	[0.12]
high_nopogr_year1800	0.11*	0.12**	-0.08	-0.10
	[0.06]	[0.06]	[0.14]	[0.14]
high_nopogr_year1850	0.11*	0.16**	-0.11	-0.19
	[0.07]	[0.07]	[0.18]	[0.18]
low_pogr	-0.05	-0.06	-0.14	-0.09
	[0.12]	[0.13]	[0.19]	[0.19]
low_pogr_year1600	-0.06	-0.03	0.02	0.00
	[0.09]	[0.09]	[0.09]	[0.09]
low_pogr_year1700	-0.21**	-0.19*	-0.18	-0.22*
	[0.10]	[0.10]	[0.12]	[0.12]
low_pogr_year1750	-0.27**	-0.23*	-0.27**	-0.29**
	[0.12]	[0.12]	[0.13]	[0.13]
low_pogr_year1800	-0.58***	-0.52***	-0.25*	-0.26*
	[0.14]	[0.14]	[0.15]	[0.15]
low_pogr_year1850	-0.51***	-0.45***	-0.25	-0.30
	[0.15]	[0.15]	[0.19]	[0.19]
high_expu	0.23	0.23	0.31	0.31
	[0.20]	[0.18]	[0.23]	[0.23]
high_expu_year1600	-0.19	-0.13	-0.07	-0.07
	[0.17]	[0.15]	[0.25]	[0.25]
high_expu_year1700	-0.53	-0.40	-0.34	-0.34
	[0.32]	[0.30]	[0.47]	[0.47]
high_expu_year1750	-0.56*	-0.39	-0.23	-0.23
	[0.31]	[0.30]	[0.45]	[0.45]
high_expu_year1800	-0.65**	-0.46	-0.11	-0.11
	[0.30]	[0.28]	[0.33]	[0.33]
high_expu_year1850	-0.08	0.02	0.45	0.45
	[0.46]	[0.43]	[0.69]	[0.69]
low_expu	0.35**	0.35**	0.11	0.14
	[0.15]	[0.15]	[0.28]	[0.28]
low_expu_year1600	-0.06	-0.07	-0.06	-0.07
	[0.11]	[0.11]	[0.12]	[0.13]
low_expu_year1700	-0.04	-0.05	-0.18	-0.20
	[0.16]	[0.16]	[0.15]	[0.15]
low_expu_year1750	0.01	-0.02	-0.29	-0.30
	[0.18]	[0.19]	[0.21]	[0.21]
low_expu_year1800	-0.14	-0.19	-0.33*	-0.34*
	[0.19]	[0.20]	[0.19]	[0.19]
low_expu_year1850	-0.08	-0.09	-0.36*	-0.38**
	[0.20]	[0.20]	[0.19]	[0.19]
				
Observations	16,821	16,821	2,367	2,367
R-squared	0.77	0.77	0.87	0.87
mortality	high_med_extrap	high_mean_extrap	high_med_263	high_mean_263
