	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	jewpers13471352_x	jewpers13471352_x_all	jewpers13471352_x_all	jewpers13471352_x_all	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_ej	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x	jewpers13471352_x
																
mortality	-0.011***	-0.007***		-0.008***	-0.009***	-0.008***	-0.009***	-0.013***	-0.012***	-0.007***	-0.011***	-0.006**	-0.010***		-0.008***	-0.025***
	[0.003]	[0.001]		[0.002]	[0.002]	[0.003]	[0.002]	[0.002]	[0.002]	[0.001]	[0.003]	[0.003]	[0.003]		[0.003]	[0.007]
emort263			-0.015***													
			[0.002]													
lpop1300_05					-0.043*											
					[0.025]											
mortality_raw														-0.007**		
														[0.003]		
Constant	0.749***	0.690***	0.963***	0.722***	0.921***	0.812***	0.808***	0.961***	0.957***	0.533***	0.927***	0.624***	0.921***	0.704***	0.855***	0.887***
	[0.181]	[0.065]	[0.075]	[0.090]	[0.116]	[0.142]	[0.110]	[0.107]	[0.109]	[0.070]	[0.110]	[0.131]	[0.138]	[0.159]	[0.116]	[0.304]
																
Observations	124	307	363	159	124	63	111	94	92	263	97	99	52	72	38	124
R-squared	0.141	0.072	0.193	0.081	0.137	0.109	0.103	0.246	0.204	0.101	0.148	0.047	0.163	0.063	0.122	
